DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2026
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Total"
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";-;-;1;1;-;-;-;2;-;1;-;1;1;7
"251520 SAO SEBASTIAO DO UMBUZEIRO";-;-;-;-;-;-;1;1;-;-;-;-;-;2
"251530 SAPE";-;-;1;-;-;-;-;1;1;-;-;-;-;3
"251550 SERRA BRANCA";-;-;-;-;-;-;-;-;-;-;-;1;1;2
"251593 SERTAOZINHO";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"251600 SOLANEA";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"251610 SOLEDADE";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"251615 SOSSEGO";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"251620 SOUSA";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"251630 SUME";-;-;-;-;1;-;-;2;1;2;1;1;-;8
"251640 TACIMA";-;1;-;-;1;-;-;-;-;-;-;-;-;2
"251660 TAVARES";-;1;1;1;3;1;-;-;-;-;1;-;-;8
"251680 TRIUNFO";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"251710 VARZEA";1;-;-;-;-;-;-;1;-;-;-;-;-;2
"260005 ABREU E LIMA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"260010 AFOGADOS DA INGAZEIRA";-;-;-;-;-;-;-;-;-;-;-;1;1;2
"260030 AGRESTINA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"260050 AGUAS BELAS";-;-;-;-;1;1;-;1;-;-;2;1;-;6
"260080 ALTINHO";-;-;-;-;-;-;-;-;-;-;-;2;-;2
"260090 AMARAJI";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"260130 BARRA DE GUABIRABA";2;1;-;-;-;-;-;-;-;-;1;-;-;4
"260140 BARREIROS";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"260200 BODOCO";-;1;-;-;-;1;-;-;-;-;-;-;-;2
"260230 BONITO";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"260250 BREJINHO";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"260280 BUIQUE";3;1;2;5;6;5;-;3;5;13;19;14;-;76
"260290 CABO DE SANTO AGOSTINHO";-;1;2;1;2;1;2;4;4;-;-;-;-;17
"260300 CABROBO";-;1;-;-;1;-;-;-;-;1;2;1;-;6
"260310 CACHOEIRINHA";1;1;2;-;5;5;1;3;3;5;30;15;1;72
"260345 CAMARAGIBE";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"260350 CAMOCIM DE SAO FELIX";-;1;1;2;1;-;-;-;1;-;-;-;-;6
"260400 CARPINA";3;1;-;-;-;-;-;-;-;-;1;-;-;5
"260410 CARUARU";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"260415 CASINHAS";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"260440 CHA DE ALEGRIA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"260450 CHA GRANDE";3;1;-;-;-;-;-;-;-;-;-;-;-;4
"260460 CONDADO";-;-;-;-;-;1;-;1;-;-;-;-;-;2
"260480 CORTES";-;-;-;-;-;-;-;-;1;2;-;1;-;4
"260490 CUMARU";-;-;-;-;-;-;-;-;1;1;-;-;-;2
"260515 DORMENTES";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"260520 ESCADA";-;-;-;-;-;1;-;-;-;1;-;-;-;2
"260540 FEIRA NOVA";-;-;-;-;-;-;-;1;3;1;-;1;-;6
"260560 FLORES";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"260570 FLORESTA";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"260580 FREI MIGUELINHO";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"260620 GOIANA";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"260630 GRANITO";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"260660 IBIMIRIM";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"260680 IGARASSU";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"260690 IGUARACY";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"260700 INAJA";-;-;-;-;-;-;-;-;3;6;1;-;-;10
"260720 IPOJUCA";2;1;2;1;2;-;4;3;8;2;3;1;-;29
"260765 ITAMBE";-;-;-;-;-;-;1;-;1;1;-;-;-;3
"260790 JABOATAO DOS GUARARAPES";-;-;1;-;-;1;1;1;1;4;1;1;1;12
"260795 JAQUEIRA";-;-;-;-;-;-;-;-;-;-;-;2;-;2
"260830 JUPI";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"260840 JUREMA";-;-;-;1;-;-;1;-;-;-;-;-;-;2
"260845 LAGOA DO CARRO";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"260850 LAGOA DE ITAENGA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"260890 LIMOEIRO";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"260940 MORENO";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"260960 OLINDA";4;9;3;6;1;-;3;2;2;-;2;-;-;32
"260990 OURICURI";-;-;-;1;-;3;1;2;1;2;2;2;1;15
"261000 PALMARES";-;-;-;-;-;1;-;-;1;-;-;-;-;2
"261040 PARNAMIRIM";-;-;-;-;-;-;-;-;1;1;2;-;-;4
"261060 PAUDALHO";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"261070 PAULISTA";2;-;1;-;3;1;-;-;1;3;1;-;-;12
"261100 PETROLANDIA";2;6;8;10;13;11;1;3;6;9;4;1;-;74
"261160 RECIFE";6;3;3;4;3;2;5;10;11;4;1;3;-;55
"261170 RIACHO DAS ALMAS";3;2;1;-;4;1;1;1;1;-;-;-;-;14
"261220 SALGUEIRO";-;-;-;-;-;1;5;3;4;1;9;2;-;25
"261240 SANHARO";-;-;-;-;1;-;-;2;-;-;-;-;-;3
"261245 SANTA CRUZ";-;-;-;-;-;5;15;6;7;8;7;4;-;52
"261260 SANTA MARIA DA BOA VISTA";-;1;-;-;2;2;1;1;7;2;-;-;-;16
"261310 SAO CAITANO";-;-;-;-;-;-;-;-;-;1;6;10;3;20
"261330 SAO JOAQUIM DO MONTE";-;-;-;-;-;1;-;2;-;2;-;2;1;8
"261340 SAO JOSE DA COROA GRANDE";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"261360 SAO JOSE DO EGITO";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"261370 SAO LOURENCO DA MATA";-;-;-;-;1;-;-;-;1;-;-;1;-;3
"261390 SERRA TALHADA";1;-;-;-;-;-;-;1;-;1;2;2;1;8
"261400 SERRITA";-;-;-;-;-;-;-;2;-;-;-;-;-;2
"261410 SERTANIA";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"261430 MOREILANDIA";-;-;-;-;-;-;2;1;1;3;1;-;-;8
"261440 SOLIDAO";-;-;-;-;-;-;-;-;-;2;2;1;-;5
"261450 SURUBIM";-;-;-;1;-;-;-;-;1;-;-;-;-;2
"261460 TABIRA";-;-;-;-;-;1;1;-;2;1;3;-;-;8
"261480 TACARATU";-;-;-;1;-;-;-;2;1;-;1;-;-;5
"261485 TAMANDARE";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"261520 TERRA NOVA";-;-;-;-;-;-;1;-;-;1;2;2;-;6
"261530 TIMBAUBA";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"261550 TRACUNHAEM";2;-;-;-;-;-;-;-;-;-;-;-;-;2
"261570 TRIUNFO";-;-;-;-;-;1;1;1;-;-;-;-;-;3
"261610 VERDEJANTE";-;-;1;-;1;-;-;-;1;-;-;-;-;3
"270010 AGUA BRANCA";-;-;-;-;-;-;-;-;-;1;-;1;-;2
"270020 ANADIA";-;-;-;-;1;1;2;-;-;-;-;-;-;4
"270030 ARAPIRACA";1;-;-;-;-;-;-;1;-;-;-;-;-;2
"270040 ATALAIA";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"270140 CAMPO ALEGRE";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"270160 CANAPI";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"270180 CARNEIROS";-;-;1;-;-;-;-;-;-;-;2;4;-;7
"270210 COLONIA LEOPOLDINA";2;-;-;-;2;1;2;1;-;-;-;-;-;8
"270230 CORURIPE";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"270300 IBATEGUARA";-;-;-;-;4;1;-;-;1;-;-;-;-;6
"270360 JAPARATINGA";-;-;-;-;-;-;-;1;-;1;-;-;-;2
"270370 JARAMATAIA";-;1;1;-;-;-;-;-;-;-;-;-;-;2
"270430 MACEIO";19;32;24;7;15;11;3;1;5;1;5;3;-;126
"270450 MARAGOGI";9;7;7;7;3;3;8;5;4;4;-;-;-;57
"270460 MARAVILHA";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"270470 MARECHAL DEODORO";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"270480 MARIBONDO";-;-;-;-;-;2;-;-;1;-;1;-;-;4
"270520 MESSIAS";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"270540 MONTEIROPOLIS";1;-;-;-;1;-;-;-;-;-;-;-;-;2
"270550 MURICI";-;-;1;-;-;-;-;-;-;1;-;-;-;2
"270560 NOVO LINO";-;-;1;-;-;-;1;-;-;1;1;-;-;4
"270600 OLIVENCA";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"270610 OURO BRANCO";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"270630 PALMEIRA DOS INDIOS";-;-;2;1;-;-;1;-;-;-;-;-;-;4
"270640 PAO DE ACUCAR";-;1;-;-;-;-;-;1;-;-;-;-;-;2
"270642 PARICONHA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"270690 PILAR";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"270770 RIO LARGO";1;-;1;1;-;1;-;1;-;-;2;-;-;7
"270810 SANTANA DO MUNDAU";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"270860 SAO MIGUEL DOS CAMPOS";-;1;-;2;2;1;2;12;9;-;-;-;-;29
"270870 SAO MIGUEL DOS MILAGRES";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"270895 SENADOR RUI PALMEIRA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"270930 UNIAO DOS PALMARES";-;-;-;-;-;-;-;-;-;5;-;-;-;5
"280030 ARACAJU";3;4;-;-;-;-;1;-;-;-;-;-;-;8
"280067 BOQUIM";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"280120 CANINDE DE SAO FRANCISCO";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"280290 ITABAIANA";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"280300 ITABAIANINHA";-;-;-;-;-;-;-;-;-;2;1;-;-;3
"280320 ITAPORANGA D'AJUDA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"280360 LARANJEIRAS";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"280440 NEOPOLIS";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"280480 NOSSA SENHORA DO SOCORRO";1;1;3;1;-;1;-;-;1;3;-;-;-;11
"280540 POCO REDONDO";-;1;2;2;-;-;1;-;-;-;-;-;-;6
"280670 SAO CRISTOVAO";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"280740 TOBIAS BARRETO";-;-;-;-;-;-;-;-;-;2;-;-;-;2
"280760 UMBAUBA";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"290020 ABARE";-;-;-;-;-;-;-;-;-;-;-;2;2;4
"290035 ADUSTINA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"290070 ALAGOINHAS";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"290090 ALMADINA";-;-;-;-;-;-;-;3;2;2;-;-;-;7
"290100 AMARGOSA";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"290130 ANDARAI";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"290135 ANDORINHA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"290140 ANGICAL";-;-;-;-;-;1;-;-;1;-;-;-;-;2
"290190 APORA";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"290210 ARACI";-;-;-;-;-;1;-;3;-;-;-;-;-;4
"290225 ARATACA";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"290230 ARATUIPE";-;-;-;-;-;-;-;-;-;-;4;1;-;5
"290270 BARRA";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"290320 BARREIRAS";1;1;1;-;-;1;-;-;-;-;-;2;-;6
"290327 BARROCAS";-;-;-;1;-;1;-;1;-;-;-;-;-;3
"290340 BELMONTE";-;-;-;-;-;-;1;-;2;-;-;-;-;3
"290350 BELO CAMPO";3;3;1;2;1;-;1;1;4;4;4;6;9;39
"290380 BOA VISTA DO TUPIM";1;3;6;-;5;7;9;8;2;1;1;-;-;43
"290390 BOM JESUS DA LAPA";-;-;-;-;-;-;1;-;-;4;3;-;-;8
"290440 BREJOLANDIA";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"290450 BROTAS DE MACAUBAS";-;-;-;-;-;-;2;-;-;3;-;-;-;5
"290460 BRUMADO";-;1;-;3;-;1;1;-;-;-;-;-;-;6
"290470 BUERAREMA";-;1;1;1;-;-;-;1;-;-;-;-;-;4
"290485 CABACEIRAS DO PARAGUACU";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"290500 CACULE";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"290520 CAETITE";3;-;-;4;-;-;-;2;3;2;2;-;-;16
"290530 CAFARNAUM";-;1;-;1;-;-;-;-;1;-;-;-;-;3
"290560 CAMACAN";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"290570 CAMACARI";1;-;-;-;-;-;-;-;-;1;-;-;-;2
"290590 CAMPO ALEGRE DE LOURDES";-;-;-;-;3;1;2;2;6;4;7;3;-;28
"290670 CANDIDO SALES";-;-;1;-;-;1;1;-;-;-;1;-;-;4
"290689 CARAIBAS";-;-;1;-;-;-;1;1;-;-;-;-;-;3
"290690 CARAVELAS";-;-;-;-;-;1;1;1;-;1;-;-;-;4
"290710 CARINHANHA";2;-;3;2;2;2;6;2;11;26;55;25;2;138
"290760 CENTRAL";-;-;-;-;-;-;-;-;-;-;2;4;-;6
"290770 CHORROCHO";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"290790 CIPO";1;-;-;-;-;-;-;-;-;-;1;-;-;2
"290800 COARACI";-;-;1;-;2;-;-;-;-;-;2;-;-;5
"290810 COCOS";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"290850 CONCEICAO DO JACUIPE";-;-;-;-;-;-;-;-;-;-;1;1;-;2
"290870 CONDEUBA";5;-;4;1;3;-;1;1;3;5;7;2;-;32
"290900 CORDEIROS";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"290930 CORRENTINA";5;1;2;1;2;-;3;1;2;4;1;-;-;22
"290950 CRAVOLANDIA";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"290980 CRUZ DAS ALMAS";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"290990 CURACA";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"291000 DARIO MEIRA";-;-;-;-;-;-;-;-;-;3;2;1;1;7
"291005 DIAS D'AVILA";-;-;1;-;-;-;-;-;1;-;1;-;-;3
"291010 DOM BASILIO";-;-;-;-;-;-;-;-;-;-;3;-;-;3
"291020 DOM MACEDO COSTA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"291072 EUNAPOLIS";-;-;-;1;-;1;1;-;-;1;2;3;-;9
"291080 FEIRA DE SANTANA";2;2;2;2;2;1;5;1;2;12;4;8;3;46
"291100 FLORESTA AZUL";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"291130 GENTIO DO OURO";1;1;-;5;1;-;-;1;-;-;-;-;-;9
"291160 GOVERNADOR MANGABEIRA";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"291170 GUANAMBI";-;1;-;1;-;-;-;-;1;2;-;-;-;5
"291180 GUARATINGA";-;1;-;-;-;-;-;-;1;-;-;-;-;2
"291210 IBICARAI";-;-;-;-;-;-;-;1;-;1;4;13;1;20
"291250 IBIPITANGA";-;-;-;-;-;-;-;-;-;-;2;-;-;2
"291300 IBITIARA";1;-;-;-;-;-;-;-;-;-;-;1;-;2
"291360 ILHEUS";16;3;9;25;24;17;11;4;4;15;2;2;-;132
"291390 IPIAU";-;-;-;-;-;2;-;2;-;-;2;6;1;13
"291440 IRAQUARA";-;1;-;1;1;1;-;1;1;-;2;-;-;8
"291450 IRARA";-;-;-;1;1;2;-;-;-;-;-;-;-;4
"291460 IRECE";-;-;-;-;-;-;-;1;14;20;18;11;8;72
"291465 ITABELA";-;-;2;1;-;-;-;-;-;-;-;-;-;3
"291480 ITABUNA";28;17;23;32;26;22;21;17;13;10;-;-;-;209
"291490 ITACARE";2;3;1;3;4;-;-;3;4;4;3;-;-;27
"291520 ITAGIBA";-;-;-;1;-;-;-;-;1;1;1;-;1;5
"291535 ITAGUACU DA BAHIA";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"291550 ITAJUIPE";-;1;-;-;-;1;-;-;-;-;-;-;-;2
"291560 ITAMARAJU";-;-;-;1;-;-;1;1;-;-;-;-;-;3
"291620 ITAPE";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"291730 ITUBERA";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"291733 IUIU";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"291740 JACARACI";1;-;-;-;-;-;-;-;1;-;-;-;-;2
"291750 JACOBINA";-;-;1;-;-;-;-;-;-;-;-;1;-;2
"291760 JAGUAQUARA";-;-;-;1;-;-;1;-;1;1;-;-;-;4
"291800 JEQUIE";1;1;-;-;1;1;3;1;1;3;6;2;-;20
"291835 JOAO DOURADO";-;1;-;3;2;-;-;-;-;-;-;-;-;6
"291840 JUAZEIRO";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"291900 LAJEDINHO";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"291915 LAPAO";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"291920 LAURO DE FREITAS";1;-;1;-;1;-;4;2;1;-;1;-;-;11
"291930 LENCOIS";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"291940 LICINIO DE ALMEIDA";5;2;3;4;1;1;-;1;1;-;-;-;-;18
"291950 LIVRAMENTO DE NOSSA SENHORA";1;-;1;-;-;-;-;-;1;-;-;-;-;3
"291955 LUIS EDUARDO MAGALHAES";-;1;-;-;1;-;1;2;1;-;-;-;-;6
"292010 MAIRI";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"292020 MALHADA";-;-;-;-;-;-;-;-;-;-;2;-;-;2
"292070 MARAU";-;-;-;-;-;-;-;-;1;4;5;3;1;14
"292100 MATA DE SAO JOAO";-;-;-;-;-;-;-;-;-;2;1;1;-;4
"292105 MATINA";-;-;1;-;-;-;-;-;-;-;2;5;-;8
"292110 MEDEIROS NETO";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"292145 MIRANTE";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"292160 MORPARA";-;-;-;1;-;-;-;1;-;4;3;-;1;10
"292190 MUCUGE";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"292200 MUCURI";-;-;-;-;-;1;2;1;2;-;-;-;-;6
"292205 MULUNGU DO MORRO";-;-;-;-;-;-;-;-;2;-;1;5;-;8
"292230 MURITIBA";-;-;-;-;-;-;-;-;-;1;-;1;-;2
"292285 NOVA REDENCAO";-;1;-;-;-;-;-;-;-;-;-;1;-;2
"292300 NOVA VICOSA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"292303 NOVO HORIZONTE";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"292340 PALMAS DE MONTE ALTO";3;-;-;1;1;-;1;2;1;-;1;-;-;10
"292350 PALMEIRAS";2;-;-;-;-;-;-;-;-;-;-;-;-;2
"292360 PARAMIRIM";1;1;-;-;-;-;-;-;-;-;-;-;-;2
"292370 PARATINGA";-;-;-;2;-;2;-;-;2;8;9;4;-;27
"292380 PARIPIRANGA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"292400 PAULO AFONSO";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"292405 PE DE SERRA";1;-;1;-;-;-;-;-;-;-;-;-;-;2
"292470 PIRIPA";-;-;-;-;-;-;-;1;-;3;-;1;1;6
"292520 POJUCA";-;-;-;-;-;-;-;1;-;4;6;2;-;13
"292530 PORTO SEGURO";-;2;-;-;3;-;-;1;-;-;-;1;1;8
"292560 PRESIDENTE DUTRA";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"292570 PRESIDENTE JANIO QUADROS";-;2;2;-;-;-;-;-;-;-;-;-;-;4
"292575 PRESIDENTE TANCREDO NEVES";-;-;-;1;-;-;-;-;2;1;3;1;-;8
"292593 QUIXABEIRA";-;-;-;-;-;-;1;-;2;1;-;-;-;4
"292595 RAFAEL JAMBEIRO";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"292600 REMANSO";-;-;-;-;-;-;-;-;1;-;1;-;-;2
"292670 RIO DE CONTAS";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"292740 SALVADOR";7;7;13;7;8;3;9;5;10;7;7;7;1;91
"292780 SANTA CRUZ DA VITORIA";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"292800 SANTALUZ";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"292810 SANTA MARIA DA VITORIA";-;4;5;1;10;6;8;3;20;24;44;17;-;142
"292840 SANTA RITA DE CASSIA";-;1;1;1;-;1;-;1;1;3;3;3;-;15
"292850 SANTA TEREZINHA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"292860 SANTO AMARO";-;-;-;-;-;-;1;-;-;1;-;-;-;2
"292870 SANTO ANTONIO DE JESUS";-;-;-;-;-;-;1;-;-;1;1;-;-;3
"292880 SANTO ESTEVAO";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"292905 SAO FELIX DO CORIBE";-;-;-;-;1;-;1;2;-;-;1;-;-;5
"292930 SAO GONCALO DOS CAMPOS";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"292940 SAO MIGUEL DAS MATAS";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"292990 SEABRA";1;1;-;-;2;-;-;-;-;-;1;-;-;5
"293010 SENHOR DO BONFIM";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"293070 SIMOES FILHO";-;3;-;1;1;-;-;-;-;-;-;1;-;6
"293075 SITIO DO MATO";1;-;-;6;5;7;10;4;-;-;-;-;-;33
"293076 SITIO DO QUINTO";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"293100 TANHACU";-;1;-;-;1;2;-;-;-;-;-;-;-;4
"293130 TAPIRAMUTA";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"293135 TEIXEIRA DE FREITAS";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"293140 TEODORO SAMPAIO";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"293160 TEOLANDIA";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"293180 TREMEDAL";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"293210 UBAIRA";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"293220 UBAITABA";-;-;-;-;-;-;-;-;-;-;-;2;-;2
"293280 UTINGA";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"293290 VALENCA";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"293300 VALENTE";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"293305 VARZEA DA ROCA";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"293315 VARZEA NOVA";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"293325 VEREDA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"293330 VITORIA DA CONQUISTA";-;1;2;-;-;-;-;1;-;-;1;1;-;6
"293340 WAGNER";3;-;-;-;-;-;-;-;1;-;3;-;-;7
"293360 XIQUE-XIQUE";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"310010 ABADIA DOS DOURADOS";3;16;9;10;9;16;17;14;14;13;3;2;-;126
"310030 ABRE CAMPO";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"310040 ACAIACA";-;-;-;-;-;-;-;-;-;1;-;1;-;2
"310050 ACUCENA";1;-;-;-;-;-;1;-;-;-;-;-;-;2
"310060 AGUA BOA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"310070 AGUA COMPRIDA";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"310080 AGUANIL";1;2;-;1;1;-;-;-;-;-;-;-;-;5
"310090 AGUAS FORMOSAS";6;12;12;5;7;3;3;1;5;1;-;-;-;55
"310110 AIMORES";-;-;-;-;-;-;-;2;1;1;2;2;-;8
"310130 ALAGOA";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"310150 ALEM PARAIBA";1;-;-;-;-;-;-;-;-;-;1;-;-;2
"310160 ALFENAS";-;-;-;-;-;-;-;2;3;-;-;-;-;5
"310163 ALFREDO VASCONCELOS";-;1;-;-;-;-;-;-;-;-;-;-;1;2
"310180 ALPERCATA";14;16;12;4;4;1;10;22;7;11;7;-;-;108
"310205 ALTO CAPARAO";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"310230 ALVINOPOLIS";-;-;1;-;1;-;-;-;1;1;-;-;-;4
"310260 ANDRADAS";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"310270 CACHOEIRA DE PAJEU";-;-;-;-;-;-;-;2;-;1;3;5;-;11
"310290 ANTONIO CARLOS";-;-;-;2;-;1;-;1;-;-;-;-;-;4
"310300 ANTONIO DIAS";-;-;1;-;-;-;-;-;-;1;11;25;3;41
"310340 ARACUAI";3;2;1;2;-;2;4;5;4;4;12;6;-;45
"310350 ARAGUARI";27;22;23;33;20;10;13;66;61;16;15;1;-;307
"310375 ARAPORA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"310380 ARAPUA";-;-;1;-;1;-;-;2;-;2;3;2;2;13
"310390 ARAUJOS";-;-;-;-;-;-;-;1;1;-;-;-;-;2
"310400 ARAXA";25;13;1;8;9;18;9;16;22;17;4;6;-;148
"310410 ARCEBURGO";-;-;-;-;-;-;-;-;-;-;3;1;1;5
"310420 ARCOS";-;1;-;-;1;4;3;1;3;6;13;9;-;41
"310450 ARINOS";1;1;1;1;1;-;-;1;-;-;1;-;-;7
"310480 AUGUSTO DE LIMA";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"310490 BAEPENDI";-;-;1;-;-;-;-;-;3;1;-;-;-;5
"310520 BANDEIRA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"310560 BARBACENA";8;8;1;2;6;2;6;2;6;4;13;11;1;70
"310590 BARROSO";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"310610 BELMIRO BRAGA";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"310620 BELO HORIZONTE";12;5;18;8;9;3;8;12;12;22;14;11;-;134
"310630 BELO ORIENTE";-;-;1;1;4;1;1;1;6;4;9;4;3;35
"310640 BELO VALE";4;2;4;3;-;-;-;-;2;1;3;1;-;20
"310660 BERTOPOLIS";-;-;-;-;-;-;-;-;-;2;-;-;-;2
"310670 BETIM";8;10;1;2;9;6;7;6;11;19;6;20;8;113
